comment_id,text,class_label
38597354-71ae5eb4-fda4-435d-bff8-60991a5bf179,"ความสุขในแต่ละช่วงอายุ และสถานการณ์ มันต่างกัน
ความสุขจึงมีหลายอย่าง และความสุขไม่ได้คงอยู่ตลอดไป
เช่น บอกว่ารวยแล้วจะซื้อรถสปอร์ตเพราะเป็นความฝันและจะมีความสุข พอซื้อได้แล้วความสุขก็คือวันที่ไปซื้อและรับรถ
หลังจากนั้น แค่ 10 วัน หรือ 1 ปี ความสุขอาจจะลดลงและค่อยๆหมดไป
ก็จะบอกว่ามีเงินไม่เห็นมีความสุข แต่จริงๆคือมีความสุขไปแล้ว แต่มันไมคงอยู่ถาวร",NEU
41041562-0,"ขอใช้พื้นที่ตรงนี้ระบายนะคะ

  คือเราเป็นลูกคนเล็ก เพิ่งเรียนจบมหาลัย ตอนนี้ยังหางานไม่ได้ ที่บ้านก็ถามตลอดว่าได้งานรึยัง? ซึ่งเรารู้สึกอึดอัดกับการถามของเขาตรงนี้ค่ะ อีกอย่างที่บ้านมองว่าเราเป็นภาระ ทั้ง พ่อ แม่ พี่สาว มองเราเป็นภาระ เราเลยรู้สึกอึดอัดมากๆ (เราได้ยินกับหูเลยค่ะว่าเราคือภาระ)  ตอนนี้คือฝืนยิ้มค่ะ พยายามหาอะไรทำ แต่บางครั้งก็ไม่ไหวจนต้องร้องไห้ออกมา...

  เราควรจัดการกับอารมณ์ ความรู้สึกตรงนี้ยังไงดีคะ เราไม่อยากรู้สึกแย่ไปมากกว่านี้แล้ว แค่หางานก็ทำเราเครียดแล้วค่ะ สมัยนี้ ยุคนี้ เขาคกดเรื่องเงินเดือนหนักมาก จบใหม่ เงินเดือนควรเริ่มที่ 20,000 บาทได้แล้ว แต่นี้เจอแต่เริ่มต้น 15,000 บาท แค่ค่าใช้จ่ายในชีวิตประจำวันก็ไม่พอแล้วค่ะ 

ปล.ขอบคุณที่เข้ามาอ่านและแสดงความคิดเห็นกันนะคะ",NEG
41041562-f7d96013-c1d2-4e18-9ed0-db6bbbebe863,"เมื่อพิจารณาจากทัศนคติของคนในครอบครัวที่มีต่อคุณ บวกกับเรื่องเงินเดือนที่คุณกล่าวมา ผมคิดว่าปัญหามันอยู่ที่ตัวคุณเองนั่นแหละ

15000 ไม่พอใช้ ถ้าได้เดือนละ 2 หมื่น มันจะทำให้คุณมีเงินเก็บสักเท่าไหร่กันเชียว เผลอๆก็ยังไม่พอใช้อีกนั่นแหละ ไปหาขายของดีมั้ย บางทีคุณอาจไม่เหมาะกับการเป็นมนุษย์เงินเดือน เพราะถ้าจะให้คุณควบคุมรายจ่ายดูท่าจะยาก มีแต่ต้องเพิ่มเพดานของรายได้ให้สูงขึ้นเพื่อรองรับรายจ่ายอันมากมายของคุณ",NEG
41041562-9ca3bbd1-2a2e-4d0b-877b-24fb63a90c76,"เริ่มทำงาน อย่าเพิ่งหมิ่นเงินน้อย
เมื่อทำงานเราจะใด้ทั้งเงินและประสพการณ์ในการทำงานรวมถึงการฝึก interactive กับผู้คนที่เขาไม่ต้องแคร์คุณ
ตอนเรียนชีวิตมันง่ายสุดแล้วเพราะคุณเอาเงินไปให้เขา ตอนทำงานเขาต้องเอาเงินให้คุณ นิสิครับชิวิตของจริง

มีรายใด้ไม่ต้องรอขอเงินจากใคร มันภูมิใจกว่าครับ และเมื่อเก่งงานแล้ว โอกาสมักมาหาเราเสมอ",NEU
41041562-d30d8abb-3352-4166-8390-2f585cf2c14a,เอางานที่เรียนมาค่ะอย่าพึ่งสนเงินเดือนมากค่ะ ถ้าทนที่บ้านกดดันได้ก็เอางานตรงสายนะคะ,NEU
41041562-be5813b2-d1e6-4be0-aae4-f362a7d64e73,"ถ้าได้อยู่บ้านได้เงินเดือน 15kก็ ได้อยู๋นะ ไม่ต้องไปเริ่มต้นใหม่
ใช้ต้นทุนชีวิตเก็บเงินไปก่อน เก็บประสบการณ์ไปก่อน
หากผมพูดตรงๆคือคุณรู้สึกอึดอัด แต่พอคุณบอกเรื่องเงินเดือนต้อง 20K
มันดูย้อนแย้งอะครับ ได้เงินเดือน 15k กับ 20k ต่างกัน 5 พัน ตรงนี้เอาไปทำอะไรครับ
ลองไปคิดดูนะครับ
แต่คุณจะมีประวัติการทำงาน นี่แหละประสบการณ์
เวลาหางานใหม่ที่คุณได้ทำงานนั่นมาจะได้บอกเขาได้ว่า เคยทำอะไรมาบ้าง",NEU
41041562-76b44a70-7f17-45fa-8e09-e7dd585f6ac2,ลองคำนวณรายรับรายจ่ายดีมั้ยค่ะ แล้วค่อยนำมาทบทวนว่าจะปรับเงินส่วนไหน เก็บส่วนไหน พยายามอย่าซื้อของที่เกินตัวหรืออะไรที่ล่อตาล่อใจ พยายามเป็นหนี้ให้น้อยที่สุดค่ะ อะไรที่ประหยัดได้ก็ประหยัด ไม่จำเป็นไม่ต้องซื้อ ไว้ทุกอย่าลงตัวแล้วมีเงินเก็บค่อยเอาออกมาใช้ ลองไปปรับดูนะคะ,NEU
41041562-fb9666f2-c6c3-4ab0-a7e3-f0ed2271c90b,"เด็กรุ่นใหม่ ถูกเลี้ยงมาด้วย pizza KFC
อาหารญี่ปุ่น กาแฟแบรนด์ดัง นั่งgrab taxi

จบมาทำงาน เงินเดือนไม่พอใช้ครับ

กลับสู่โลกแห่งความจริง
ข้าวราดแกงจาน 40-50 บาท น้ำเปล่า
นั่งรถเมล์ รถไฟฟ้า
เงินเดือน 15,000 จะเหลือเก็บ 3-4 พัน",NEG
41041562-c633e48d-7855-4915-b228-6d64e0a382c8,ทำไมคิดว่า เขามองเราแบบนั้นละ ลองมองด้านดีๆกันหน่อย ครอบครัวตัวเอง เขากดดันเพื่อกระตุ้นเราเฉยๆมั้ง มันต้องมีบ้างอยู่ในทุกสังคม ยิ่งงานที่ทำยิ่งกดดัน ต้องรู้จัก เรียนรู้อยู่กับมันให้ได้นะ หนีมันไม่พ้น ในโลกนี้,NEU
41041562-d5257129-d514-435d-b106-e6e7e90b5256,"หมื่นห้าน้อย ต้องสองหมื่นถึงจะพอ
มาคุยกันเลยคะ หนูจบมหาลัยอะไร เกรดเฉลี่ยเท่าไหร่
มีความสามารถมากกว่าคนอื่นตรงไหน เช่นได้ภาษาจีน เยอรมัน อังกฤษ เกาหลี หรือทำงานไปด้วยเรียนไปด้วยมาก่อน
ใช้ computer programe อะไรได้บ้าง ใช้มากกว่าคนอื่นรึเปล่า

สัมภาษณ์งานเด็กสมัยนี้โคตรปวดหัว กลับบ้านดึกไม่ได้ ทำงานเสาร์อาทิตย์ไม่ได้ ภาษาไม่ได้ computer ไม่เป็น แถมงานหนักไม่เอา เป็นตัวของตัวเองในทางที่ผิดเพราะพอผิดพลาดเธอก็ไม่รับผิดชอบ นอกจากจะรับมาเป็นให้เปลืองเงินแล้วยังต้องมานั่งสอนงานให้เป็นภาระอีก ถ้าสองหมื่นที่เสียไปเพื่อจ้างเด็กจบใหม่แบบนี้ บอกตรงๆ ขอจ้างพวกที่เรียน ปวช ปวส ดีกว่าคะ คุณสมบัติพื้นๆ แต่อยากได้เงินเดือนสูง ๆ ขอโทษถ้าคุณไม่ได้เป็นแบบที่บอก แต่ลองพิจารณาดูคะว่าคุณมีอะไรที่โดดเด่นกว่าคนอื่นพวกเราถึงต้องจ้างพวกคุณในอัตราที่สูงกว่า rate ขั้นต่ำตาม กม ที่กำหนด

15k คือเงินเดือนสำหรับเด็กจบใหม่ ที่ไม่ได้มีคุณสมบัติพิเศษอะไร แต่ถ้าหนูจบมหาลัยรัฐบาลด้วย gpa สูงกว่า 3.00 หรือ พวก เอแบคที่เค้าเน้นภาษา คนพวกนี้จะได้เงินเดือนเริ่มต้นที่  25k ++ นะคะ ขอให้เข้าใจด้วย แต่มันมีข้อแม้อีก บริษัทแต่ละบริษัทมีอัตราค่าจ้างเรทที่แตกต่างกัน ก่อนที่หนูจะเสียเวลาไปสัมภาษณ์ เวลา hr โทรมาก็ถามเลยคะ เงินเดือนต่ำกว่าสองหมื่นรึเปล่าคะ ถ้าต่ำกว่าหนูไม่ไปคะ เค้าก็จะได้ไม่เสียเวลา หนูก็จะได้ไม่เสียเวลาด้วย",NEG
41041562-ed34d194-7ed4-455f-ace0-90b8959381bb,"อะไร ตรรกะ ผิดเพี้ยนไปหมด

9000 ก็ต้องทอง

ดีที่พ่อแม่ พูด ยังพอเข้าใจได้

แต่คนอื่นพูดนินทาพ่อแม่ ลูกจบมา ยังเกาะพ่อแม่กิน

คุณคิดว่า คุณได้ฟังพรอแม่พูด กับ พ่อแม่ได้ยินคนอื่นพูด

คุณคิดความรู้สึกใครมันจะเลวร้ายกว่ากัน

บางคน5000 ต่อเดือน ก็ทำ เพราะไม่อยากให้ใครมาเป็นภาระ

คนจบ ป.ตรี ไปทำงานโรงงานฝ่ายผลิต ทำงานร่วมกับคนจบ

ม.3 ม.6 ยังทำได้เลย  เอาตัวเองให้รอดไม่เป็นภาระ",NEG
41041562-b5f07d49-0369-4e11-8555-b6c8c8b6e821,งานแรกในชีวิตอย่าเพิ่งไปตั้งเป้าว่าจะเอาเงินเดือนเท่านั้นเท่านี้ ค่าใช้จ่ายมันก็ประหยัดลงได้ หางานใกล้บ้านหรือเดินทางง่ายหน่อยมั้ยจะได้ไม่ต้องไปอยู่หอ แค่นี้ก็ประหยัดไปเยอะละ เงินเดือนมันจะเพิ่มตามทักษะและประสบการณ์เองแต่ต้องมีก้าวแรกก่อน ถ้ายังเลือกงานเลือกเงินไม่เริ่มก้าวแรกซะทีก็จะโดนหาว่าเป็นภาระไปเรื่อยๆอย่างนี้ล่ะครับ,NEU
41040956-0,"1 โมโหร้าย ขาดสติ ตำหนิเสียงดัง ( โวยจากหลังบริษัท ถึงหน้าบริษัท )
2 หลอกลวงลูกน้อง ว่าจะมีโน่นนี่ดีๆ แต่ไม่มี
3 มองหัวจรดเท้า พร้อมสายตาดูถูก เวลาลูกน้องทำผิด
4 จ่ายเงินเดือนช้า จ่ายไม่ครบ
5 โทรใช้งานหลังเวลางาน คือ สามทุ่มยังโทร ประจำ 
6 ทำงานไม่เป็น โม้ซะมาก พอถึงเวลาไม่ได้เรื่อง
7 ขี้หลี เห็นผู้หญิงหน้าตาดี ถึงกับตะลึง จนน้ำลายจะไหล ชอบเบียดๆพนักงานสวยๆ 
8 ขี้บ่น พูดประชด โบราณ ในคนเดียวกัน 
9 ไม่มีอำนาจ ควบคุมใครไม่ได้เลย ปล่อยให้ลูกน้องจัดการกันเอง จนเละ คุมใครไม่ได้เลย
10 ทำงานสวนทางกับลูกน้อง สั่งลูกน้องอย่างนึง ตัวเองทำอีกอย่างนึง

555 ขำ",NEG
41040956-5a7cf678-5b6a-4d5c-b75e-503e33716e53,"ที่เขียนมาด้านบน...แย่สุดทุกอย่าง
แก้ไขข้อความเมื่อ 14 ตุลาคม เวลา 20:48 น.",NEG
41040956-10f69169-957f-4832-a9d7-89e9486a5db5,4 1,NEU
41040956-5f4d1daa-15db-450c-b3c3-06943d433a4c,"จ่ายเงินช้า จ่ายไม่ครบ

อย่างอื่น หลายอย่างก็เฉย ไม่แคร์ค่ะ
แก้ไขข้อความเมื่อ 14 ตุลาคม เวลา 23:04 น.",NEG
41040956-e21ebbaa-d2ce-4340-9392-4451cd9abef3,"ขึ้นเงินเดือนให้น้อย

โบนัสไม่แรง

ตำแหน่งไม่พุ่ง",NEG
41040956-afcc26c9-6553-4bf2-bd4d-98e2756e68fa,"ไม่รู้จักเวลาส่วนตัว เวลาครอบครัวของลูกน้อง ใช้การ์ดคำว่า ""ด่วน"" กับคำว่า ""ขอความร่วมมือ""เปลืองมาก",NEG
41040956-3badabfc-3de0-4c49-9938-5e126a07ee95,แค่ข้อแรกก็รับไม่ได้แล้วค่ะ,NEG
41040956-c2292dee-8b7a-4fba-a59d-375fdcb51340,"ไม่มีควมยุติธรรม ลำเอียง อันนี้ผมว่าสุดสำหรับผม

ผมเคยเจอประธานที่ อารมณ์ฉุนเฉียว ตบโต๊ะ ด่าผมทุกวัน ทั้งหยายไม่หยาบ
โยนรายงานกลับคืนผมก็มี คือ ทุกคนคิดว่าผมอยู่ไมได้นานแน่นอน แต่แกมีความยุติธรรมครับ สุดท้ายผมอยู่ได้ครับ
และผมก็เป็นคนเดียวที่แกหนีบไปไหนมาไหน แม้จะไปต่างจังหวัด แกก็ให้ผมไปกับแก 2 คน ทั้งๆ ที่ผมไม่มีตำแหน่งเป็นพนักงานธรรมดา
จน ผจก. ยังมาคอยอิจฉาผม และ แทงผม รวมกลุ่มคนในสำนักงานยุยงให้ผมโดนเกลียดอย่างสม่ำเสมอ
เพราะแกไม่เคยให้ ผจก. หรือ คนตำแหน่งสูงๆ ตามแกไปทำงานเหมือนผมเลย
และ การดำเนินการไปที่ไหน ให้ผมทำและเก็บเป็นความลับทุกอย่าง ไม่ต้องแจ้งใคร รับคำสั่งจากแกโดยตรง (แกไม่เคยไม่ไปเรื่องงานนะครับ)
จนคนตำแหน่งสูงๆ เอาไปมโนว่า เงินเดือนผมแซงเขาไปหมดแล้ว ซึ่ง มันก็ไม่เป็นเรื่องจริง แต่ทำคนร้อนใจได้เยอะแยะ
ผมเคยไปกินข้าวกับเพื่อนร่วมงาน เค้าก็พูดถึงเรื่องเงินเดือนผม ผมเลยบอกว่าอยากรู้จริงๆ เหรอ? ผมได้เท่าไร?
ผมเลยโยนสลิปไปกลางโต๊ะกินข้าว ""เอ้า อยากรู้นัก ลองดูสิ"" ในวงนั้นประมาณ 8 คน
มีอยู่ 2 คนที่ไม่สนใจดูเลย (คนที่ไม่สนใจดูเลย ผมรู้สึกแต่แรกแล้วว่าคบได้ ซึ่งจนถึงตอนนี้ก็เป็นคนที่ผ่านอะไรด้วยกันมา ไม่เคยทิ้งกัน)
ส่วนอีก 6 คนที่เหลือ ลาออกไปบ้าง พึ่งพาไม่ได้บ้าง หวังคบกันแบบสนิทใจไม่ได้จริงๆ

ที่ผมชอบประธานคนนี้คือ ก็อย่างที่บอก แกมีความยุติธรรมครับ
ผมทำได้แกก็ให้เยอะ ผมทำกลางๆ แกก็ให้กลางๆ คนแบบนี้ผมรับได้ครับ (คิดว่าแกดีเสียด้วยซ้ำ ตรงๆ)

หมดยุคประธานคนนี้ เงินเดือนผมขึ้นเป็นเต่าคลานเลยครับ (เพื่อนผมอีก 2 คนที่ว่าก็เช่นกัน 555+)
กลับกัน พวกที่แทงๆ ผมไว้เนี่ย ขึ้นกันดีมาก ผลเสียมาจาก ที่เค้าเสี้ยมกันมา ซึ่งเรื่องแบบนี้เข้าหู
ประธานคนใหม่ และ ผู้บริหารที่เปลี่ยนรุ่นอยู่แล้ว ผมเลยมีภาพลักษณ์ที่ไม่ดี ณ ตอนเปี่ยนชุดผู้บริหารทุกครั้ง
พอเขารู้ว่าเราเป็นยังไง ก็ถึงรอบเปลี่ยน มาจูนกันใหม่อยู่เรื่อย 555+
แก้ไขข้อความเมื่อ 15 ตุลาคม เวลา 09:31 น.",NEG
41040956-717437db-d941-4f06-abcb-df3827951842,"- เรียกเราไปด่าในวันหยุดของเรา (หลอกให้เข้าออฟฟิศ)
- บังคับไม่ให้หยุดงาน อ้างว่าพรุ่งนี้ต้องพาญาติไปเที่ยว
- ปล่อยให้เราทำงานคนเดียว โดยไม่มีใครช่วยเหลือ 3 วัน (อ้างว่าไปเที่ยว) ต้องเข้างาน 09:00-22:30 คนเดียว
- ไม่สบาย แต่ให้มาทำงาน บอกว่าแค่นี้คงไม่ตายหรอก",NEG
41040956-a38f52ae-fee9-4327-a1d1-e6605225a57b,"สิ่งที่หัวหน้า ผู้บริหาร หรือ คนทำธุรกิจ

ไม่ควรทำกับพนักงานเลยคือ ใช้อารมณ์ตัดสินมากกว่าเหตุผล

พนักงานก็จะแย่และพากิจการแย่ลงไปด้วยครับ",NEU
41040956-56385ebf-b2b0-4104-b20e-3d991813fb48,เคยเจอแบบโมโหร้ายครับ ตะคอกลูกน้องกลางที่ประชุม ผมขนาดไม่ใช่คนที่โดนตะคอกนะครับ ลาออกเลยครับ รับไม่ได้จริงๆ ไม่ได้สิ้นไร้ไม้ตอกขนาดที่ว่าต้องมาทนใครตะคอกใส่ครับ,NEG
